가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
안전세탁소,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 825-8,가정용품세탁업,세탁,,2025-01-28
요리조리,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 84,,"김밥,토스트",분식,,2025-01-28
제일약국,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 945-16,소매업(양약),약,,2025-01-28
카페오래,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 83,,음식점(휴게음식),카페,,2025-01-28
한아름의류,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 83,,소매업(여성복),의류,,2025-01-28
마이진 홍삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 9호,,"소매(한방약초, 인삼, 꿀)",인삼,,2025-01-28
백운동 홍삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 13호,,도소매(수삼 및 약초),인삼,,2025-01-28
수호홍삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166 홍삼한방센타 10호,,소매(인삼제품),인삼,,2025-01-28
재영인삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 12호,,"소매(수삼, 표고, 약초)",인삼,,2025-01-28
하수오 홍삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 7호,,"소매(홍삼, 건강식품, 수삼, 꿀)",인삼,,2025-01-28
한방약초센터 3호점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 3호,,"소매(건강식품, 인삼, 홍삼, 농산물)",인삼,,2025-01-28
홍인 약초사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 17호,,"소매(홍삼, 인삼, 약초)",인삼,,2025-01-28
보광당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 8,,"소매(금,은,시계,기념품)",귀금속,,2025-01-28
우리가정의학과의원,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1128-4,,"의료,의원",병원,,2025-01-28
㈜데미수,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 관산2길 3,,"홍삼마스크팩,물티슈,물걸레청소포,홍삼제품",일용잡화,,2025-01-28
현대주유소,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 10,,소매(유류업),주유소,,2025-01-28
꽃밭에서,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1113-3,,소매(화훼),꽃,,2025-01-28
마이산 정육점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1113,,소매업(식육),정육,,2025-01-28
버르장머리,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1113-3,,서비스(미용),미용실,,2025-01-28
진안 BYC,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 1115-1,"소매(내의, 스포츠용품)",속옷,,2025-01-28
