가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
가치가게,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 서창로 101-1,,,,,2025-01-20
동명카츠 무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 적천로 319,,,,,2025-01-20
하이클래스 수학.과학학원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 신교로 49 (2층 202호 부영아파트),,,,,2025-01-20
무에르,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무주로 1739 (무주IC만남의광장),,,,,2025-01-20
안성가정육,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 단지봉길 5,,,,,2025-01-20
라제펜션,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1745,,,,,2025-01-20
놀러와,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 126,,,,,2025-01-20
혜성이발관,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1589,,,,,2025-01-20
만화카페,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 291-1 (지하층),,,,,2025-01-20
영애국수,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1708,,,,,2025-01-20
생두부촌,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 만선로 20,,,,,2025-01-20
호박미용실,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로5길 8-2,,,,,2025-01-20
이미지헤어샵,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 109,,,,,2025-01-20
등뼈집,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 적천로 331 (1층),,,,,2025-01-20
데일리 스터디카페 무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 86-1,,,,,2025-01-20
개인택시,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 하장백길 59,,,,,2025-01-20
선화네미장원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 신교로 13 (진성빌라 1층 102호),,,,,2025-01-20
주식회사연현 농업회사법인,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 320 (102호),,,,,2025-01-20
무인다방 전북무주점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 167 (강공하우스 1층),,,,,2025-01-20
명가 교통짬뽕 무주 만남의광장점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무주로 1739 (무주IC만남의 광장),,,,,2025-01-20
