"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"꽃의궁전",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡4길 26,,,,,2023-07-10
"이지댄스",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 51,,,,,2023-07-10
"고창유리",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 천변북로 33,,,,,2023-07-10
"천안문",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정10길 9,,,,,2023-07-10
"고창성모간호학원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 124,,,,,2023-07-10
"떳다해장국",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산2길 28,,,,,2023-07-10
"최대포",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 143-1,,,,,2023-07-10
"싱싱수산식당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 시장안길 26,,,,,2023-07-10
"웰빙전북",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산1길 13,,,,,2023-07-10
"에고들고",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 203,,,,,2023-07-10
"블루페이지",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 201,,,,,2023-07-10
"신흥수산",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 21-1,,,,,2023-07-10
"정읍식당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 62-10,,,,,2023-07-10
"어전참치",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 151,,,,,2023-07-10
"비엔나음악전문학원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 106,,,,,2023-07-10
"골든벨야식",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정7길 9,,,,,2023-07-10
"정직 카센터",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 녹두로 1290,,,,,2023-07-10
"송촌 꼬마김밥",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡로 86,,,,,2023-07-10
"농업회사법인고창복분자유통주식",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡로 87,,,,,2023-07-10
"왕미용실",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산1길 12,,,,,2023-07-10
"대풍종합건재",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 고인돌대로 1729-17,,,,,2023-07-10
"대원당한약방",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 126-10,,,,,2023-07-10
"우미홍삼원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 모양성로 70,,,,,2023-07-10
"안경세상",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 212,,,,,2023-07-10
"한일전기",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 37,,,,,2023-07-10
"박가네한우사랑",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정1길 3,,,,,2023-07-10
"요거프레소 고창군청점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 천변북로 97,,,,,2023-07-10
